Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,10u,
"C10, C11",1206,2,22u,
"C12, C14, C2, C3, C4, C5, C8, C9",0402,8,100n,
"C13, C17, C7",0603,3,1u,
"C15, C16",0402,2,10p,
C6,0402,1,10n,
D1,Nexperia_CFP3_SOD-123W,1,Diode,
"D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D36, D37, D38, D4, D5, D6, D7, D8, D9",D_SOD-123,35,Diode,
D39,0805,1,LED,
F1,1206,1,500mA,
IC1,QFN40P400X400X80-33N-D,1,IS31FL3729-QFLS4-TR,
"J1, J3, J4, J5, J6, J7",SolderWire-0.1sqmm_1x01_D0.4mm_OD1mm,6,Conn_01x01,
J2,SolderWire-1sqmm_1x04_P5.4mm_D1.4mm_OD2.7mm,1,Conn_01x04_Pin,
"R1, R2, R3, R4",0603,4,5.1k,
"R10, R12, R14, R15, R17, R18, R20, R21, R23, R9",0603,10,20,
"R11, R13, R16, R19, R22",0603,5,51,
"R24, R33",0603,2,4k7,
R25,0603,1,1k5,
R5,0603,1,100k,
R6,0603,1,10k,
"RGB1, RGB10, RGB11, RGB12, RGB13, RGB14, RGB15, RGB16, RGB17, RGB18, RGB19, RGB2, RGB20, RGB21, RGB22, RGB23, RGB24, RGB25, RGB26, RGB27, RGB28, RGB29, RGB3, RGB30, RGB31, RGB32, RGB33, RGB34, RGB35, RGB37, RGB4, RGB5, RGB6, RGB7, RGB8, RGB9",T36K3BGR05D000121U1930_MODEL_INVERTED,36,T36K3BGR-05D000121U1930,
"S1, S10, S11, S12, S13, S14, S15, S16, S17, S18, S19, S2, S20, S21, S22, S23, S24, S25, S26, S27, S28, S29, S3, S30, S31, S32, S33, S34, S4, S5, S6, S7, S8, S9",MX_KS33-Solderable-1U,34,Keyswitch,
"S35, S36",MX_KS33-Solderable-1.5U,2,Keyswitch,
"SW1, SW2",SW_SPST_B3U-1000P,2,SW_Push,
"U2, U3",SOT-666,2,USBLC6-2P6,
U4,SOT-223-3_TabPin2,1,AMS1117-3.3,
U6,LQFP-48_7x7mm_P0.5mm,1,STM32G431CBTx,
"USB1, USB2",USB_C_Receptacle_G-Switch_GT-USB-7010ASV,2,USB_C_Receptacle_USB2.0_16P,
Y1,X322516MOB4SI,1,X322516MOB4SI,
