Designator,Mid X,Mid Y,Rotation,Layer
C1,113.325,-31.6,270.0,bottom
C10,45.98,-30.8975,270.0,bottom
C11,51.09,-36.8675,0.0,bottom
C12,88.99,-129.59,90.0,bottom
C13,90.47,-129.56,90.0,bottom
C14,95.0,-134.6,270.0,bottom
C15,130.1,-34.0,90.0,bottom
C16,130.1,-36.25,270.0,bottom
C17,120.8,-43.2,180.0,bottom
C2,123.6,-29.2,0.0,bottom
C3,126.6,-31.9,90.0,bottom
C4,114.8,-32.2,270.0,bottom
C5,118.0,-41.0,180.0,bottom
C6,120.2,-44.6,180.0,bottom
C7,120.15,-46.1,180.0,bottom
C8,120.4,-41.8,180.0,bottom
C9,142.6,-37.35,270.0,bottom
D1,41.8,-44.6,90.0,bottom
D10,79.3,-55.65,270.0,bottom
D11,98.1,-50.6,270.0,bottom
D12,117.3,-57.0,270.0,bottom
D13,136.55,-59.55,270.0,bottom
D14,155.65,-59.75,270.0,bottom
D15,41.0,-79.4,270.0,bottom
D16,60.35,-79.5,270.0,bottom
D17,79.0,-74.5,270.0,bottom
D18,98.5,-70.35,270.0,bottom
D19,117.25,-76.15,270.0,bottom
D2,61.0,-44.8,90.0,bottom
D20,136.85,-78.95,270.0,bottom
D21,155.9,-78.7,270.0,bottom
D22,41.3,-98.6,270.0,bottom
D23,60.3,-98.4,270.0,bottom
D24,79.4,-93.5,270.0,bottom
D25,98.5,-89.05,270.0,bottom
D26,117.3,-95.1,270.0,bottom
D27,136.55,-97.95,270.0,bottom
D28,155.6,-98.1,270.0,bottom
D29,41.15,-117.65,270.0,bottom
D3,79.2,-40.2,90.0,bottom
D30,60.3,-117.7,270.0,bottom
D31,78.95,-116.1,90.0,bottom
D32,98.25,-108.05,270.0,bottom
D33,117.9,-113.75,270.0,bottom
D36,140.8,-120.9,270.0,bottom
D37,149.5,-125.05,270.0,bottom
D38,171.35,-134.65,270.0,bottom
D39,59.5,-30.8475,0.0,bottom
D4,98.1,-35.2,90.0,bottom
D5,117.0,-45.4,90.0,bottom
D6,136.1,-44.1,90.0,bottom
D7,155.4,-43.6,90.0,bottom
D8,41.4,-60.45,270.0,bottom
D9,60.05,-60.3,270.0,bottom
F1,42.29,-29.3575,180.0,bottom
IC1,85.77,-127.96,180.0,bottom
R1,30.53,-33.4275,0.0,bottom
R10,36.5,-58.1,0.0,bottom
R11,36.5,-56.5,0.0,bottom
R12,36.9,-77.2,0.0,bottom
R13,36.9,-75.5,0.0,bottom
R14,26.8,-71.2,0.0,bottom
R15,82.6,-88.5,270.0,bottom
R16,79.15,-88.15,180.0,bottom
R17,69.4,-89.9,180.0,bottom
R18,44.1,-110.9,270.0,bottom
R19,43.4,-116.9,270.0,bottom
R2,35.25,-33.9075,270.0,bottom
R20,27.5,-108.9,0.0,bottom
R21,71.5,-132.85,180.0,bottom
R22,44.9,-132.2,180.0,bottom
R23,33.7,-132.9,180.0,bottom
R24,100.5,-39.75,0.0,bottom
R25,63.3,-30.8975,0.0,bottom
R3,134.55,-28.35,180.0,bottom
R33,102.1,-41.35,180.0,bottom
R4,138.0,-28.4,0.0,bottom
R5,93.2,-135.0,270.0,bottom
R6,88.25,-131.57,180.0,bottom
R9,27.3,-52.2,0.0,bottom
RGB1,34.0,-52.87,0.0,top
RGB10,72.25,-67.25,0.0,top
RGB11,91.25,-62.25,0.0,top
RGB12,110.25,-68.25,0.0,top
RGB13,129.25,-71.25,0.0,top
